Date,Open,High,Low,Close,Adj Close,Volume,indicator
2020-06-04,22.030001000000002,23.120001000000002,22.030001000000002,22.68,22.411255,6651900,1.0
2020-06-05,23.540001,24.4,23.379998999999998,23.559998999999998,23.280827,7843600,1.0
2020-06-08,23.629998999999998,24.379998999999998,23.309998999999998,24.370001000000002,24.081229999999998,8570400,1.0
2020-06-09,23.74,23.959999,23.209999,23.209999,22.934971,6850000,0.0
2020-06-10,22.309998999999998,23.15,22.040001,22.200001,21.936943,10262100,0.0
2020-06-11,20.16,21.799999,20.0,21.059998999999998,20.81045,6834800,0.0
2020-06-12,22.0,22.309998999999998,21.02,21.540001,21.284761,5212800,1.0
2020-06-15,20.719998999999998,22.540001,20.629998999999998,21.969998999999998,21.709667,7735600,1.0
2020-06-16,22.959999,22.98,21.924999,22.07,21.808483,7287800,1.0
2020-06-17,22.17,22.34,21.08,21.26,21.008081,5737700,0.0
2020-06-18,21.0,21.889999,21.0,21.25,20.998199,3618900,0.0
2020-06-19,21.76,21.85,21.0,21.450001,21.195826999999998,14451100,1.0
2020-06-22,21.52,22.825001,21.309998999999998,22.74,22.470545,5995500,1.0
2020-06-23,23.120001000000002,23.24,22.32,22.389999,22.124691000000002,5961200,0.0
2020-06-24,22.1,22.66,21.450001,21.82,21.561445000000003,6825600,0.0
2020-06-25,21.620001000000002,21.870001000000002,21.035,21.52,21.34325,6141000,0.0
2020-06-26,21.52,21.74,20.591,20.969998999999998,20.797767999999998,21346900,0.0
2020-06-29,21.08,22.469998999999998,21.0,22.120001000000002,21.938323999999998,8086000,1.0
2020-06-30,21.809998999999998,22.41,21.41,22.219998999999998,22.037502,7082500,1.0
2020-07-01,22.32,23.01,21.870001000000002,22.610001,22.424298999999998,9181500,1.0
2020-07-02,22.99,23.219998999999998,22.57,22.91,22.721836,5667400,1.0
2020-07-06,23.129998999999998,24.290001,23.129998999999998,24.209999,24.011158,7145200,1.0
2020-07-07,23.76,24.18,23.724001,24.01,23.812801,4671900,0.0
2020-07-08,23.879998999999998,24.09,23.459999,23.99,23.792965,4692100,0.0
2020-07-09,24.0,24.219998999999998,23.76,23.91,23.713621,5470300,0.0
2020-07-10,23.84,26.059998999999998,23.719998999999998,24.889999,24.685572,12262400,1.0
2020-07-13,25.139999,25.209999,23.26,24.280001000000002,24.080583999999998,8562400,0.0
2020-07-14,24.299999,25.16,24.23,25.15,24.943438,7218300,1.0
2020-07-15,25.58,26.57,25.540001,26.450001,26.232761,5798700,1.0
2020-07-16,26.120001000000002,26.99,25.92,26.610001,26.391446999999996,4863400,1.0
2020-07-17,26.889999,26.9,26.33,26.48,26.262512,3187100,0.0
2020-07-20,26.219998999999998,26.540001,26.065001000000002,26.41,26.193089,2442800,0.0
2020-07-21,26.290001,26.799999,26.16,26.57,26.351774,4952700,1.0
2020-07-22,26.34,27.059998999999998,26.32,26.6,26.381528999999997,3503900,1.0
2020-07-23,26.66,27.629998999999998,26.52,27.35,27.125367999999998,6245400,1.0
2020-07-24,27.25,27.26,26.540001,26.58,26.361691999999998,8293000,0.0
2020-07-27,26.5,26.780001000000002,26.08,26.25,26.034403,5734900,0.0
2020-07-28,26.07,26.4,25.85,26.07,25.855879,9895100,0.0
2020-07-29,26.110001,27.719998999999998,26.110001,27.18,26.956766,12657500,1.0
2020-07-30,25.85,27.5,25.6,26.9,26.679064,6742900,0.0
2020-07-31,26.85,27.355,26.629998999999998,27.24,27.016270000000002,9261300,1.0
2020-08-03,27.24,27.889999,27.01,27.620001000000002,27.393152,4115900,1.0
2020-08-04,27.4,27.870001000000002,27.16,27.77,27.54192,4382200,1.0
2020-08-05,27.66,28.174999,27.66,28.110001,27.879126,4177300,1.0
2020-08-06,28.02,28.540001,27.940001000000002,28.27,28.037813,3648700,1.0
2020-08-07,28.719998999999998,29.030001000000002,28.440001000000002,28.969998999999998,28.732060999999998,3477900,1.0
2020-08-10,29.02,29.57,28.91,29.459999,29.218037,3516900,1.0
2020-08-11,30.16,30.32,29.440001000000002,29.49,29.247790999999996,5113800,1.0
2020-08-12,29.870001000000002,30.190001000000002,29.620001000000002,29.790001,29.545328,3523800,1.0
2020-08-13,29.9,30.280001000000002,29.370001000000002,29.540001,29.297382,3643800,0.0
2020-08-14,29.709999,30.048,29.280001000000002,29.52,29.277546,5008300,0.0
2020-08-17,29.5,30.184998999999998,29.143,29.84,29.594917,4588200,1.0
2020-08-18,29.719998999999998,30.049999,29.370001000000002,29.459999,29.218037,3412900,0.0
2020-08-19,29.540001,29.690001000000002,29.120001000000002,29.25,29.009762,3864000,0.0
2020-08-20,29.02,29.41,28.75,29.01,28.771734000000002,3166800,0.0
2020-08-21,29.16,29.82,29.084999,29.52,29.277546,3112600,1.0
2020-08-24,29.76,30.440001000000002,29.74,30.379998999999998,30.130482,3117300,1.0
2020-08-25,30.5,30.805,30.41,30.469998999999998,30.219742,3233600,1.0
2020-08-26,30.51,31.24,30.41,31.030001000000002,30.775143,3316600,1.0
2020-08-27,31.07,31.24,30.16,30.280001000000002,30.031305,4144700,0.0
2020-08-28,30.379998999999998,30.475,29.955,30.299999,30.051140000000004,3689900,1.0
2020-08-31,30.190001000000002,30.459999,29.83,29.85,29.604836,3572700,0.0
2020-09-01,29.66,30.360001,29.17,30.299999,30.051140000000004,2778500,1.0
2020-09-02,30.219998999999998,30.950001,29.84,30.780001000000002,30.527196999999997,3445400,1.0
2020-09-03,30.5,30.690001000000002,28.959999,29.33,29.089106,5049400,0.0
2020-09-04,29.43,30.094998999999998,28.83,30.0,29.753603000000002,4277400,1.0
2020-09-08,29.35,30.25,29.200001,29.57,29.327135,4733300,0.0
2020-09-09,29.93,30.344998999999998,29.549999,30.129998999999998,29.882534000000003,4782000,1.0
2020-09-10,29.9,30.01,28.58,29.139999,28.900667,9090300,0.0
2020-09-11,29.17,29.645,29.01,29.24,28.999846,4547300,1.0
2020-09-14,29.4,29.440001000000002,28.83,29.15,28.910583000000003,4299400,0.0
2020-09-15,29.48,30.040001,29.301001,29.690001000000002,29.44615,4052100,1.0
2020-09-16,30.16,30.535,29.525,30.25,30.001551,4884300,1.0
2020-09-17,29.77,30.695,29.370001000000002,30.66,30.408184000000002,4735100,1.0
