Date,Open,High,Low,Close,Adj Close,Volume,indicator,7dayMA
2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500,1.0,82.32403182719054
2020-01-06,88.094002,90.311996,88.0,90.307999,90.307999,50665000,1.0,83.46459856616332
2020-01-07,92.279999,94.325996,90.671997,93.811996,93.811996,89410500,1.0,84.94279819956856
2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001,155721500,1.0,86.86925574248734
2020-01-09,99.419998,99.760002,94.573997,96.267998,96.267998,142202000,0.0,88.2119332078463
2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500,0.0,89.2716566067254
2020-01-13,98.699997,105.125999,98.400002,104.97200000000001,104.97200000000001,132588000,1.0,91.51456280576463
2020-01-14,108.851997,109.482002,104.980003,107.584,107.584,144981000,1.0,93.8101966906554
2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000,0.0,95.22302530627606
2020-01-16,98.75,102.891998,98.433998,102.697998,102.697998,108683500,0.0,96.29087854823662
2020-01-17,101.522003,103.134003,100.632004,102.099998,102.099998,68145500,0.0,97.1207527556314
2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500,1.0,98.88064550482692
2020-01-22,114.377998,118.900002,111.82,113.912003,113.912003,156845000,1.0,101.02798228985164
2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000,1.0,102.94398510558712
2020-01-24,114.125999,114.772003,110.851997,112.963997,112.963997,71768000,0.0,104.37541537621753
2020-01-27,108.398003,112.88799999999999,107.856003,111.603996,111.603996,68040500,0.0,105.40806975104361
2020-01-28,113.697998,115.36200000000001,111.615997,113.379997,113.379997,58942500,1.0,106.54691650089453
2020-01-29,115.13799999999999,117.959999,113.486,116.197998,116.197998,89007500,1.0,107.92564242933815
2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500,1.0,110.81655108228985
2020-01-31,128.0,130.600006,126.503998,130.113998,130.113998,78596500,1.0,113.5733292133913
2020-02-03,134.738007,157.227997,134.703995,156.0,156.0,235325000,1.0,119.63428218290684
2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000,1.0,127.88824229963443
2020-02-05,164.651993,169.195999,140.82200600000004,146.940002,146.940002,242119000,0.0,130.60992225682952
2020-02-06,139.983994,159.166,137.399994,149.792007,149.792007,199404000,1.0,133.35022007728244
2020-02-07,146.110001,153.949997,146.0,149.613998,149.613998,85317500,0.0,135.67361692338497
2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997,123446000,1.0,138.32824264861569
2020-02-11,153.757996,156.701996,151.600006,154.87600700000004,154.87600700000004,58487500,1.0,140.69220898452775
2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500,0.0,142.5158924153095
2020-02-13,148.367996,163.600006,147.0,160.800003,160.800003,131446500,1.0,145.12790821312245
2020-02-14,157.444,162.59399399999995,157.100006,160.005997,160.005997,78468500,0.0,147.2533494683907
2020-02-18,168.320007,172.0,166.472,171.679993,171.679993,81908500,1.0,150.74286997290633
